theme,placebo_variant,family,effort,actor_states_placebo_as_key_factor,actor_states_placebo_as_key_factor_se,actor_states_placebo_as_key_factor_ci_lo,actor_states_placebo_as_key_factor_ci_hi,linear_model_factor_is_placebo,linear_model_factor_is_placebo_se,linear_model_factor_is_placebo_ci_lo,linear_model_factor_is_placebo_ci_hi,judge_factor_is_placebo,judge_factor_is_placebo_se,judge_factor_is_placebo_ci_lo,judge_factor_is_placebo_ci_hi,n_premise_ok,n_choice_ok,n_tau_ok,bootstrap,model_tag,dataset_relpath,responses_relpath,stageA_summary_relpath
placebo_label_border,Label Border Thickness,Claude Haiku 4.5,low,0.0,0.0,0.0,0.0,0.0,0.008245500667030477,0.0,0.0,0.0,0.0,0.0,0.0,970,970,970,500,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_haiku45_low/stageA_summary.json
placebo_label_border,Label Border Thickness,Claude Haiku 4.5,minimal,0.005154639175257732,0.0025556910835597044,0.000980392156862745,0.010752688172043012,0.0,0.03207409198380854,0.0,0.011444290245836633,0.0,0.0,0.0,0.0,970,970,968,500,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_haiku45_min/stageA_summary.json
placebo_label_border,Label Border Thickness,GPT-5-mini,low,0.0,0.0,0.0,0.0,0.0,0.018939732220477696,0.0,0.0,0.0,0.0,0.0,0.0,970,970,970,500,mini_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_mini_low/stageA_summary.json
placebo_label_border,Label Border Thickness,GPT-5-mini,minimal,0.002061855670103093,0.0014880846018964797,0.0,0.0054661371237458185,0.0,0.02075060723898166,0.0,0.0,0.0,0.0,0.0,0.0,970,970,970,500,mini_min,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_mini_min/stageA_summary.json
placebo_label_border,Label Border Thickness,GPT-5-nano,low,0.0,0.0,0.0,0.0,0.0,0.02232781631640589,0.0,0.0,0.005241090146750524,0.003800201010584367,0.0,0.014059042773793313,954,970,954,500,nano_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_nano_low/stageA_summary.json
placebo_label_border,Label Border Thickness,GPT-5-nano,minimal,0.0031446540880503146,0.0017920475298927889,0.0,0.007202417494019771,0.01134020618556701,0.015546055189835612,0.0,0.025,0.06184486373165619,0.011219654187763042,0.04092586420839936,0.08664216820392592,954,970,954,500,nano_min,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_nano_min/stageA_summary.json
placebo_label_border,Label Border Thickness,Ministral-3-14B,low,0.03505154639175258,0.008780759478645138,0.019284941249226962,0.05206313775510204,0.0,0.012924946772779002,0.0,0.004166666666666667,0.006224066390041493,0.0034423629111116983,0.001013659315523715,0.0142847260653016,970,970,964,500,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_ministral3_14b_low/stageA_summary.json
placebo_label_border,Label Border Thickness,Ministral-3-14B,minimal,0.031958762886597936,0.007928974575975708,0.01666504854368932,0.047102463605823056,0.0,0.0010647496610184846,0.0,0.0037591431556948662,0.005175983436853002,0.0036166606870570764,0.0,0.012944983818770227,970,970,966,500,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_ministral3_14b_minimal/stageA_summary.json
placebo_label_border,Label Border Thickness,Qwen3.5-14B,low,0.004123711340206186,0.003986564366634104,0.0,0.013043478260869565,0.0,0.03267690177124411,0.0,0.11686726804123704,0.026915113871635612,0.013255326142297692,0.005563944796097513,0.05469401785090068,970,970,966,500,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_qwen35_14b_low/stageA_summary.json
placebo_label_border,Label Border Thickness,Qwen3.5-14B,minimal,0.006185567010309278,0.0063051316661024695,0.0,0.01935483870967742,0.0,0.04020470275150432,0.0,0.1607142857142856,0.024870466321243522,0.012065790614815223,0.006190036978971405,0.05301828702712729,970,970,965,500,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/placebo_label_border/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_placebo_label_border_balanced_train_qwen35_14b_minimal/stageA_summary.json
