theme,objective,family,effort,attr_code,attr_label,actor_share,linear_share,judge_share,n_actor_attr,linear_matches_actor_rate,judge_matches_actor_rate,linear_choice_accuracy_given_actor_attr,judge_choice_accuracy_given_actor_attr
drugs,5-year overall patient outcome,GPT-5-mini,minimal,E,Efficacy,0.46494845360824744,0.4402061855670103,0.6329896907216495,451,0.8381374722838137,0.8713968957871396,0.8580931263858093,0.8957871396895787
drugs,5-year overall patient outcome,GPT-5-mini,minimal,A,Adherence,0.10103092783505155,0.07216494845360824,0.10206185567010309,98,0.5,0.40816326530612246,0.7653061224489796,0.6326530612244898
drugs,5-year overall patient outcome,GPT-5-mini,minimal,S,Safety,0.14432989690721648,0.18144329896907216,0.21649484536082475,140,0.7571428571428571,0.45714285714285713,0.8357142857142857,0.6928571428571428
drugs,5-year overall patient outcome,GPT-5-mini,minimal,D,Durability,0.28969072164948456,0.3061855670103093,0.04845360824742268,281,0.7829181494661922,0.12099644128113879,0.7330960854092526,0.501779359430605
drugs,5-year overall patient outcome,GPT-5-mini,low,E,Efficacy,0.3402061855670103,0.3268041237113402,0.5639175257731959,330,0.8181818181818182,0.8848484848484849,0.8181818181818182,0.8
drugs,5-year overall patient outcome,GPT-5-mini,low,A,Adherence,0.2288659793814433,0.1618556701030928,0.1824742268041237,222,0.6216216216216216,0.45045045045045046,0.6891891891891891,0.6351351351351351
drugs,5-year overall patient outcome,GPT-5-mini,low,S,Safety,0.2463917525773196,0.354639175257732,0.19381443298969073,239,0.9037656903765691,0.5146443514644351,0.7447698744769874,0.702928870292887
drugs,5-year overall patient outcome,GPT-5-mini,low,D,Durability,0.18453608247422681,0.15670103092783505,0.05979381443298969,179,0.5865921787709497,0.16759776536312848,0.4860335195530726,0.553072625698324
drugs,5-year overall patient outcome,GPT-5-nano,minimal,E,Efficacy,0.38362068965517243,0.43426724137931033,0.38146551724137934,356,0.7331460674157303,0.45224719101123595,0.7780898876404494,0.5617977528089888
drugs,5-year overall patient outcome,GPT-5-nano,minimal,A,Adherence,0.18857758620689655,0.10775862068965517,0.18642241379310345,175,0.32571428571428573,0.28,0.7885714285714286,0.5314285714285715
drugs,5-year overall patient outcome,GPT-5-nano,minimal,S,Safety,0.09159482758620689,0.1810344827586207,0.3125,85,0.6705882352941176,0.4117647058823529,0.6,0.6235294117647059
drugs,5-year overall patient outcome,GPT-5-nano,minimal,D,Durability,0.33620689655172414,0.2769396551724138,0.11961206896551724,312,0.5705128205128205,0.14743589743589744,0.7051282051282052,0.5256410256410257
drugs,5-year overall patient outcome,GPT-5-nano,low,E,Efficacy,0.27129337539432175,0.231335436382755,0.3901156677181914,258,0.6589147286821705,0.6821705426356589,0.8410852713178295,0.8217054263565892
drugs,5-year overall patient outcome,GPT-5-nano,low,A,Adherence,0.22818086225026288,0.23764458464773922,0.19558359621451105,217,0.6082949308755761,0.3456221198156682,0.6774193548387096,0.6267281105990783
drugs,5-year overall patient outcome,GPT-5-nano,low,S,Safety,0.2765509989484753,0.35856992639327023,0.24185068349106204,263,0.908745247148289,0.4600760456273764,0.7946768060836502,0.7034220532319392
drugs,5-year overall patient outcome,GPT-5-nano,low,D,Durability,0.22397476340694006,0.17245005257623555,0.17245005257623555,213,0.568075117370892,0.3145539906103286,0.6009389671361502,0.6572769953051644
drugs,5-year overall patient outcome,Claude Haiku 4.5,minimal,E,Efficacy,0.2927835051546392,0.37731958762886597,0.4214876033057851,284,0.8697183098591549,0.7102473498233216,0.7535211267605634,0.7703180212014135
drugs,5-year overall patient outcome,Claude Haiku 4.5,minimal,A,Adherence,0.27319587628865977,0.21958762886597938,0.19318181818181818,265,0.5433962264150943,0.3132075471698113,0.6679245283018868,0.6339622641509434
drugs,5-year overall patient outcome,Claude Haiku 4.5,minimal,S,Safety,0.20515463917525772,0.2154639175257732,0.1683884297520661,199,0.7135678391959799,0.3787878787878788,0.7035175879396985,0.6818181818181818
drugs,5-year overall patient outcome,Claude Haiku 4.5,minimal,D,Durability,0.2288659793814433,0.18762886597938144,0.21694214876033058,222,0.5540540540540541,0.4009009009009009,0.6531531531531531,0.6396396396396397
drugs,5-year overall patient outcome,Claude Haiku 4.5,low,E,Efficacy,0.20927835051546392,0.20927835051546392,0.37938144329896906,203,0.7832512315270936,0.7339901477832512,0.7783251231527094,0.8325123152709359
drugs,5-year overall patient outcome,Claude Haiku 4.5,low,A,Adherence,0.33608247422680415,0.2649484536082474,0.22268041237113403,326,0.6104294478527608,0.4233128834355828,0.7730061349693251,0.754601226993865
drugs,5-year overall patient outcome,Claude Haiku 4.5,low,S,Safety,0.25257731958762886,0.35051546391752575,0.20515463917525772,245,0.8653061224489796,0.5551020408163265,0.7755102040816326,0.7387755102040816
drugs,5-year overall patient outcome,Claude Haiku 4.5,low,D,Durability,0.2020618556701031,0.17525773195876287,0.19278350515463918,196,0.6173469387755102,0.46938775510204084,0.5459183673469388,0.6071428571428571
drugs,5-year overall patient outcome,Qwen3.5-14B,minimal,E,Efficacy,0.34329896907216495,0.16082474226804125,0.27422680412371137,333,0.43843843843843844,0.3783783783783784,0.7747747747747747,0.7267267267267268
drugs,5-year overall patient outcome,Qwen3.5-14B,minimal,A,Adherence,0.18865979381443299,0.30103092783505153,0.20618556701030927,183,0.6557377049180327,0.47540983606557374,0.7759562841530054,0.6939890710382514
drugs,5-year overall patient outcome,Qwen3.5-14B,minimal,S,Safety,0.2711340206185567,0.20927835051546392,0.16288659793814433,263,0.5817490494296578,0.24714828897338403,0.7452471482889734,0.5551330798479087
drugs,5-year overall patient outcome,Qwen3.5-14B,minimal,D,Durability,0.19690721649484536,0.3288659793814433,0.35670103092783506,191,0.7958115183246073,0.5863874345549738,0.675392670157068,0.518324607329843
drugs,5-year overall patient outcome,Qwen3.5-14B,low,E,Efficacy,0.3494845360824742,0.16288659793814433,0.2845360824742268,339,0.4336283185840708,0.3952802359882006,0.7640117994100295,0.7463126843657817
drugs,5-year overall patient outcome,Qwen3.5-14B,low,A,Adherence,0.19381443298969073,0.30103092783505153,0.20824742268041238,188,0.6329787234042553,0.48404255319148937,0.8031914893617021,0.7021276595744681
drugs,5-year overall patient outcome,Qwen3.5-14B,low,S,Safety,0.26597938144329897,0.20721649484536084,0.16288659793814433,258,0.5813953488372093,0.2441860465116279,0.7558139534883721,0.5271317829457365
drugs,5-year overall patient outcome,Qwen3.5-14B,low,D,Durability,0.19072164948453607,0.3288659793814433,0.3443298969072165,185,0.8054054054054054,0.5513513513513514,0.654054054054054,0.4810810810810811
drugs,5-year overall patient outcome,Ministral-3-14B,minimal,E,Efficacy,0.31649484536082473,0.4329896907216495,0.304437564499484,307,0.8208469055374593,0.5392156862745098,0.8273615635179153,0.761437908496732
drugs,5-year overall patient outcome,Ministral-3-14B,minimal,A,Adherence,0.30103092783505153,0.18350515463917524,0.11558307533539731,292,0.4520547945205479,0.1643835616438356,0.726027397260274,0.5924657534246576
drugs,5-year overall patient outcome,Ministral-3-14B,minimal,S,Safety,0.13298969072164948,0.2020618556701031,0.4231166150670795,129,0.6666666666666666,0.5193798449612403,0.6589147286821705,0.7286821705426356
drugs,5-year overall patient outcome,Ministral-3-14B,minimal,D,Durability,0.24948453608247423,0.18144329896907216,0.1568627450980392,242,0.4462809917355372,0.2603305785123967,0.6652892561983471,0.5330578512396694
drugs,5-year overall patient outcome,Ministral-3-14B,low,E,Efficacy,0.31649484536082473,0.4350515463917526,0.3013415892672859,307,0.8208469055374593,0.5294117647058824,0.8306188925081434,0.7745098039215687
drugs,5-year overall patient outcome,Ministral-3-14B,low,A,Adherence,0.30515463917525776,0.1824742268041237,0.11351909184726522,296,0.44594594594594594,0.1554054054054054,0.7331081081081081,0.5878378378378378
drugs,5-year overall patient outcome,Ministral-3-14B,low,S,Safety,0.13298969072164948,0.20103092783505155,0.4282765737874097,129,0.6511627906976745,0.5038759689922481,0.6511627906976745,0.7286821705426356
drugs,5-year overall patient outcome,Ministral-3-14B,low,D,Durability,0.24536082474226803,0.18144329896907216,0.1568627450980392,238,0.44537815126050423,0.25630252100840334,0.6554621848739496,0.5294117647058824
policy,5-year overall community outcome,GPT-5-mini,minimal,E,Effectiveness,0.5845360824742268,0.6051546391752577,0.6391752577319587,567,0.9770723104056437,0.8765432098765432,0.9312169312169312,0.8818342151675485
policy,5-year overall community outcome,GPT-5-mini,minimal,A,Compliance,0.10103092783505155,0.08556701030927835,0.09896907216494845,98,0.7959183673469388,0.45918367346938777,0.7346938775510204,0.6836734693877551
policy,5-year overall community outcome,GPT-5-mini,minimal,S,Safety,0.2649484536082474,0.27422680412371137,0.2536082474226804,257,0.9182879377431906,0.5914396887159533,0.8832684824902723,0.7198443579766537
policy,5-year overall community outcome,GPT-5-mini,minimal,D,Implementation Ease,0.049484536082474224,0.03505154639175258,0.008247422680412371,48,0.5,0.08333333333333333,0.625,0.3958333333333333
policy,5-year overall community outcome,GPT-5-mini,low,E,Effectiveness,0.5381443298969072,0.5618556701030928,0.5381443298969072,522,0.9904214559386973,0.8563218390804598,0.9137931034482759,0.8160919540229885
policy,5-year overall community outcome,GPT-5-mini,low,A,Compliance,0.19072164948453607,0.15876288659793814,0.15463917525773196,185,0.7567567567567568,0.518918918918919,0.8,0.7783783783783784
policy,5-year overall community outcome,GPT-5-mini,low,S,Safety,0.23195876288659795,0.27319587628865977,0.2865979381443299,225,0.9777777777777777,0.8,0.8755555555555555,0.8844444444444445
policy,5-year overall community outcome,GPT-5-mini,low,D,Implementation Ease,0.03917525773195876,0.006185567010309278,0.020618556701030927,38,0.15789473684210525,0.07894736842105263,0.3684210526315789,0.4473684210526316
policy,5-year overall community outcome,GPT-5-nano,minimal,E,Effectiveness,0.6058091286307054,0.5518672199170125,0.700207468879668,584,0.7636986301369864,0.7243150684931506,0.8698630136986302,0.678082191780822
policy,5-year overall community outcome,GPT-5-nano,minimal,A,Compliance,0.19398340248962656,0.1037344398340249,0.1078838174273859,187,0.35294117647058826,0.13903743315508021,0.7433155080213903,0.6096256684491979
policy,5-year overall community outcome,GPT-5-nano,minimal,S,Safety,0.15352697095435686,0.25622406639004147,0.16597510373443983,148,0.722972972972973,0.20945945945945946,0.668918918918919,0.5540540540540541
policy,5-year overall community outcome,GPT-5-nano,minimal,D,Implementation Ease,0.046680497925311204,0.08817427385892117,0.025933609958506226,45,0.5111111111111111,0.022222222222222223,0.4444444444444444,0.35555555555555557
policy,5-year overall community outcome,GPT-5-nano,low,E,Effectiveness,0.520703933747412,0.5952380952380952,0.4968944099378882,503,0.9761431411530815,0.7594433399602386,0.9582504970178927,0.7654075546719682
