theme,placebo_variant,family,effort,actor_states_placebo_as_key_factor,linear_model_factor_is_placebo,judge_factor_is_placebo,n_premise_ok,n_choice_ok,n_tau_ok,model_tag,dataset_relpath,responses_relpath,stageA_summary_relpath
placebo_label_border,Label Border Thickness,Claude Haiku 4.5,low,0.0,0.0,0.0,970,970,970,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_haiku45_low/stageA_summary.json
placebo_label_border,Label Border Thickness,Claude Haiku 4.5,minimal,0.004123711340206186,0.0,0.0,970,970,968,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_haiku45_min/stageA_summary.json
placebo_label_border,Label Border Thickness,GPT-5-mini,low,0.0,0.0,0.0,970,970,970,mini_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_mini_low/stageA_summary.json
placebo_label_border,Label Border Thickness,GPT-5-mini,minimal,0.002061855670103093,0.0,0.0,970,970,970,mini_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_mini_min/stageA_summary.json
placebo_label_border,Label Border Thickness,GPT-5-nano,low,0.0,0.0,0.009394572025052192,958,970,958,nano_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_nano_low/stageA_summary.json
placebo_label_border,Label Border Thickness,GPT-5-nano,minimal,0.004232804232804233,0.010309278350515464,0.05396825396825397,945,970,945,nano_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_nano_min/stageA_summary.json
placebo_label_border,Label Border Thickness,Ministral-3-14B,low,0.02577319587628866,0.006185567010309278,0.007261410788381743,970,970,964,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_ministral3_14b_low/stageA_summary.json
placebo_label_border,Label Border Thickness,Ministral-3-14B,minimal,0.024742268041237112,0.006185567010309278,0.005175983436853002,970,970,966,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_ministral3_14b_minimal/stageA_summary.json
placebo_label_border,Label Border Thickness,Qwen3.5-14B,low,0.008247422680412371,0.0,0.022774327122153208,970,970,966,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_qwen35_14b_low/stageA_summary.json
placebo_label_border,Label Border Thickness,Qwen3.5-14B,minimal,0.008247422680412371,0.0,0.021761658031088083,970,970,965,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_label_border/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_label_border/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_label_border_balanced_train_qwen35_14b_minimal/stageA_summary.json
placebo_packaging,Packaging Symmetry,Claude Haiku 4.5,low,0.0010309278350515464,0.0,0.0,970,970,970,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_haiku45_low/stageA_summary.json
placebo_packaging,Packaging Symmetry,Claude Haiku 4.5,minimal,0.013402061855670102,0.023711340206185566,0.0,970,970,969,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_haiku45_min/stageA_summary.json
placebo_packaging,Packaging Symmetry,GPT-5-mini,low,0.0,0.0,0.0,970,970,970,mini_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_mini_low/stageA_summary.json
placebo_packaging,Packaging Symmetry,GPT-5-mini,minimal,0.004123711340206186,0.007216494845360825,0.0,970,970,969,mini_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_mini_min/stageA_summary.json
placebo_packaging,Packaging Symmetry,GPT-5-nano,low,0.002079002079002079,0.002061855670103093,0.018711018711018712,962,970,962,nano_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_nano_low/stageA_summary.json
placebo_packaging,Packaging Symmetry,GPT-5-nano,minimal,0.0410958904109589,0.029896907216494847,0.0684931506849315,949,970,949,nano_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_nano_min/stageA_summary.json
placebo_packaging,Packaging Symmetry,Ministral-3-14B,low,0.009278350515463918,0.01134020618556701,0.002079002079002079,970,970,962,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_ministral3_14b_low/stageA_summary.json
placebo_packaging,Packaging Symmetry,Ministral-3-14B,minimal,0.010309278350515464,0.01134020618556701,0.002068252326783868,970,970,967,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_ministral3_14b_minimal/stageA_summary.json
placebo_packaging,Packaging Symmetry,Qwen3.5-14B,low,0.002061855670103093,0.016494845360824743,0.021671826625386997,970,970,969,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_qwen35_14b_low/stageA_summary.json
placebo_packaging,Packaging Symmetry,Qwen3.5-14B,minimal,0.0010309278350515464,0.015463917525773196,0.02476780185758514,970,970,969,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/placebo_packaging/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/placebo_packaging/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_placebo_packaging_balanced_train_qwen35_14b_minimal/stageA_summary.json
